SOR,ID,KATEGÓRIA,MODUL,VÁLTOZAT,HELY,MEZŐ,PLATFORM,JELENLEGI SZÖVEG,JAVÍTOTT SZÖVEG,MEGJEGYZÉS,FÁJL
1,01.SIGNAL-A.feature.cim,1 FELADAT,01 SIGNAL,A,feature,blokk címe,mind,JELLEMZŐKERESÉS,,,packages/client/src/modules/
2,01.SIGNAL-A.feature.instruction.vr,1 FELADAT,01 SIGNAL,A,feature,instrukció,VR,"Egy tömb jelenik meg előtted: csupa KÉK KOCKA, és köztük legfeljebb egy NARANCSSÁRGA. Ez a cél. Ha megtaláltad, mutass rá a kontroller sugarával, és húzd meg a ravaszt — a lehető leggyorsabban. A próbák felében nincs cél: ilyenkor a tömb alatti NINCS CÉL gombra mutass, és úgy húzd meg a ravaszt.",,,packages/client/src/modules/
3,01.SIGNAL-A.feature.instruction.desktop,1 FELADAT,01 SIGNAL,A,feature,instrukció,asztali,"Egy tömb jelenik meg előtted: csupa KÉK KOCKA, és köztük legfeljebb egy NARANCSSÁRGA. Ez a cél. Ha megtaláltad, kattints rá a lehető leggyorsabban. A próbák felében nincs cél: ilyenkor a tömb alatti NINCS CÉL gombra kattints.",,,packages/client/src/modules/
4,01.SIGNAL-A.feature.instruction.mobile,1 FELADAT,01 SIGNAL,A,feature,instrukció,mobil,"Egy tömb jelenik meg előtted: csupa KÉK KOCKA, és köztük legfeljebb egy NARANCSSÁRGA. Ez a cél. Ha megtaláltad, koppints rá a lehető leggyorsabban. A próbák felében nincs cél: ilyenkor a képernyő alján a NINCS CÉL gombot nyomd meg.",,,packages/client/src/modules/
5,01.SIGNAL-A.feature.hint.vr,1 FELADAT,01 SIGNAL,A,feature,IRÁNYÍTÁS sor,VR,Sugár a célra + RAVASZ · nincs cél → a NINCS CÉL gombra mutatva RAVASZ,,,packages/client/src/modules/
6,01.SIGNAL-A.feature.hint.desktop,1 FELADAT,01 SIGNAL,A,feature,IRÁNYÍTÁS sor,asztali,Kattints a célra · nincs cél → NINCS CÉL gomb,,,packages/client/src/modules/
7,01.SIGNAL-A.feature.hint.mobile,1 FELADAT,01 SIGNAL,A,feature,IRÁNYÍTÁS sor,mobil,Koppints a célra · nincs cél → NINCS CÉL gomb a képernyő alján,,,packages/client/src/modules/
8,01.SIGNAL-A.conjunction.cim,1 FELADAT,01 SIGNAL,A,conjunction,blokk címe,mind,KONJUNKCIÓS KERESÉS,,,packages/client/src/modules/
9,01.SIGNAL-A.conjunction.instruction.vr,1 FELADAT,01 SIGNAL,A,conjunction,instrukció,VR,"Most a cél a NARANCSSÁRGA KOCKA. A tömbben narancssárga gömbök és kék kockák is vannak: egyik jellemző önmagában nem elég, csak az a cél, amelyik egyszerre narancssárga ÉS kocka. Ha megtaláltad, mutass rá a sugárral, és húzd meg a ravaszt. A próbák felében nincs cél — akkor a NINCS CÉL gombot használd.",,,packages/client/src/modules/
10,01.SIGNAL-A.conjunction.instruction.desktop,1 FELADAT,01 SIGNAL,A,conjunction,instrukció,asztali,"Most a cél a NARANCSSÁRGA KOCKA. A tömbben narancssárga gömbök és kék kockák is vannak: egyik jellemző önmagában nem elég, csak az a cél, amelyik egyszerre narancssárga ÉS kocka. Ha megtaláltad, kattints rá. A próbák felében nincs cél — akkor a NINCS CÉL gombra kattints.",,,packages/client/src/modules/
